datetime,A_Leq,A_L10,A_L95,C_Leq,C_L10,C_L95,source_file,noise_class
2013-09-03 15:15:00,53.53,57.12,48.11,58.63,61.7,53.82,DCC-NOISE-001003-2013-09-03T00-00-00.txt,0
2013-11-20 11:26:00,63.28,66.27,57.49,69.82,74.18,62.06,DCC-NOISE-001003-2013-11-20T00-00-00.txt,1
2013-03-07 13:10:00,60.63,64.14,54.85,62.75,65.81,58.03,DCC-NOISE-001003-2013-03-07T00-00-00.txt,0
2013-02-04 18:30:00,62.06,63.5,58.41,66.97,71.02,62.04,DCC-NOISE-001014-2013-02-04T00-00-00.txt,0
2013-01-31 09:45:00,60.69,62.89,57.06,65.58,68.42,61.64,DCC-NOISE-001014-2013-01-31T00-00-00.txt,0
2013-02-20 07:20:00,56.81,60.26,51.9,59.96,63.44,55.13,DCC-NOISE-001003-2013-02-20T00-00-00.txt,0
2013-11-19 12:21:00,68.37,75.16,59.82,70.63,76.47,63.28,DCC-NOISE-001003-2013-11-19T00-00-00.txt,1
2013-09-11 15:00:00,63.15,62.09,53.67,65.16,66.44,57.71,DCC-NOISE-001003-2013-09-11T00-00-00.txt,1
2013-03-10 13:20:00,61.2,63.99,56.08,67.0,72.57,60.18,DCC-NOISE-001003-2013-03-10T00-00-00.txt,0
2013-08-02 13:20:00,68.23,74.16,55.34,69.55,74.16,59.69,DCC-NOISE-001003-2013-08-02T00-00-00.txt,1
2013-12-26 21:20:00,65.4,69.39,59.77,75.05,80.4,64.58,DCC-NOISE-001003-2013-12-26T00-00-00.txt,1
2013-02-08 13:45:00,59.74,62.46,55.29,63.74,66.1,60.0,DCC-NOISE-001014-2013-02-08T00-00-00.txt,0
2013-04-11 05:30:00,52.86,58.32,44.91,54.05,59.34,46.78,DCC-NOISE-001003-2013-04-11T00-00-00.txt,0
2013-01-28 12:40:00,66.55,70.73,59.89,79.64,85.7,67.33,DCC-NOISE-001014-2013-01-28T00-00-00.txt,1
2013-12-27 11:42:00,65.18,69.28,59.88,73.53,80.18,63.25,DCC-NOISE-001003-2013-12-27T00-02-00.txt,1
2013-03-20 09:25:00,65.3,67.26,58.85,69.42,71.89,61.78,DCC-NOISE-001003-2013-03-20T00-00-00.txt,1
2013-05-06 02:40:00,50.41,56.52,41.78,52.57,57.9,44.7,DCC-NOISE-001003-2013-05-06T00-00-00.txt,0
2013-08-28 15:25:00,66.71,71.17,61.32,72.12,76.02,67.32,DCC-NOISE-001003-2013-08-28T00-00-00.txt,1
2013-08-12 09:15:00,73.95,80.54,64.17,79.75,86.31,70.31,DCC-NOISE-001003-2013-08-12T00-00-00.txt,1
2013-12-19 00:58:00,56.26,60.94,48.87,58.89,62.81,53.05,DCC-NOISE-001003-2013-12-19T00-03-00.txt,0
2013-03-10 13:25:00,60.71,63.38,55.41,66.81,71.72,59.59,DCC-NOISE-001003-2013-03-10T00-00-00.txt,0
2013-12-17 10:13:00,60.88,62.98,57.58,62.43,64.46,59.66,DCC-NOISE-001003-2013-12-17T00-03-00.txt,0
2013-01-18 14:06:00,61.42,64.03,57.43,64.05,66.72,59.77,DCC-NOISE-001003-2013-01-18T00-00-00.txt,0
2013-10-31 06:56:00,57.04,59.78,53.52,60.82,64.39,56.76,DCC-NOISE-001003-2013-10-31T00-00-00.txt,0
